['500188', 'crmcontactform.com', '-2']
['500217', 'makzidhq.com', '-2']
['500295', 'bw9666.com', '-2']
['500299', 'arthritistreatmentlab.com', '-2']
['500374', 'megarotic.com', '-2']
['500394', 'capgeek.com', '-2']
['500541', '9vf.com', '-2']
['500542', 'paizi.com', '-2']
['500547', 'qlrc114.com', '-2']
['500585', 'clintonbushhaitifund.org', '-2']
['500661', 'idesir.com', '-2']
['500671', 'startcontrol.com', '-2']
['500703', 'ayparweb.ir', '-2']
['500762', 'pjzhj.cn', '-2']
['500818', 'lucky-browse.com', '-2']
['500831', 'plantingseedsaz.com', '-2']
['500881', 'stkgroup-fasad.ru', '-2']
['500890', 'mepooya.co', '-2']
['500958', 'pluginstemaswp.online', '-2']
['501049', 'akumar.ga', '-2']
['501059', 'camiloyepesph.com', '-2']
['501105', 'shyuanxiu.cn', '-2']
['501211', 'uvvu.com', '-2']
['501240', 'onex53132.top', '-2']
['501245', 'coach-outlet.ca', '-2']
['501316', 'uumad.com', '-2']
['501366', 'kebs.org', '-2']
['501393', 'banwo365.com', '-2']
['501416', 'roymech.co.uk', '-2']
['501417', 'ximizi.com', '-2']
['501427', 'pulsemgr.com', '-2']
['501467', 'uranomail.es', '-2']
['501529', 'yongshenghang.com', '-2']
['501547', 'organictabsshop.su', '-2']
['501588', 'nakretkomaniacy.com', '-2']
['501642', 'chasetech.com.ng', '-2']
['501666', 'jsqjhb.com', '-2']
['501817', 'filestash.app', '-2']
['501955', 'cuntflaps.me', '-2']
['501981', 'wisdomdigitalmarketing.com', '-2']
['502006', 'nemoguce.site', '-2']
['502104', 'quasarzone.co.kr', '-2']
['502139', 'wsoc.edu.cn', '-2']
['502148', '5home.site', '-2']
['502235', 'promokit.site', '-2']
['502236', 'emjdjd.com', '-2']
['502305', 'shjob.cn', '-2']
['502392', 'sainthelena.gov.sh', '-2']
['502495', 'aixuexi.com', '-2']
['502574', 'snptc.com.cn', '-2']
['502598', 'eprog.net', '-2']
['502599', 'jinrixinxianshi.top', '-2']
['502602', 'kyungsankranma.xyz', '-2']
['502607', '168shfc.com', '-2']
['502803', 'xinancaipiao.com', '-2']
['502871', 'yournew.space', '-2']
['502916', 'ufcgroup.in', '-2']
['502930', 'cuoriribelli.com', '-2']
['502940', 'creditcounselingbulletin.com', '-2']
['502945', 'huzad.com', '-2']
