['141', 'so.com', '-2']
['146', 'haosou.com', '-2']
['181', 'babytree.com', '-2']
['502', 'soso.com', '-2']
['632', 'www.gov.cn', '-2']
['722', 'sonhoo.com', '-2']
['881', 'sq.cn', '-2']
['917', 'oschina.net', '-2']
['1249', 'chinanews.com', '-2']
['1443', 'eqxiu.com', '-2']
['1444', 'people.com.cn', '-2']
['1519', '258.com', '-2']
['1884', 'oeeee.com', '-2']
['2053', 'douyu.com', '-2']
['2451', '51auto.com', '-2']
['2547', 'tianqi.com', '-2']
['2649', 'golux.com', '-2']
['2821', 'familydoctor.com.cn', '-2']
['2904', '52pojie.cn', '-2']
['2910', 'meb.gov.tr', '-2']
['2912', 'mihoyo.com', '-2']
['2966', 'aizhan.com', '-2']
['3066', 'siamswim.com', '-2']
['3113', 'miaopai.com', '-2']
['3591', 'guajiba.com', '-2']
['3752', 'bts.gov', '-2']
['3971', 'hackp.cn', '-2']
['4011', 'megaupload.com', '-2']
['4106', 'lamabang.com', '-2']
['4159', 'miitbeian.gov.cn', '-2']
['4396', 'ip138.com', '-2']
['4433', 'xuexi.cn', '-2']
['4613', 'ithome.com', '-2']
['4677', 'eventbrite.ca', '-2']
['4731', 'gsa.gov', '-2']
['4874', 'herdcowhas.icu', '-2']
['4957', 'weidian.com', '-2']
['5041', 'gsxt.gov.cn', '-2']
['5346', 'mohurd.gov.cn', '-2']
['5450', 'saic.gov.cn', '-2']
['5451', 'tongdun.net', '-2']
['5532', 'liepin.com', '-2']
['5821', 'n360.cn', '-2']
['5876', 'processon.com', '-2']
['6093', '720yun.com', '-2']
['6150', '120ask.com', '-2']
['6211', 'qianlong.com', '-2']
['6239', 'nga.cn', '-2']
['6693', 'sipo.gov.cn', '-2']
['6751', 'hasil.gov.my', '-2']
['6816', 'freeserve.co.uk', '-2']
['6836', 'koolearn.com', '-2']
['6928', 'nst.com.my', '-2']
['7195', 'bget.ru', '-2']
['7325', 'qidian.com', '-2']
['7353', 'businessdictionary.com', '-2']
['7489', 'hebnews.cn', '-2']
['7535', '5pao.com', '-2']
['7572', 'leetcode-cn.com', '-2']
['7688', '16mb.com', '-2']
['7782', 'luckyforbet.com', '-2']
['7800', 'qhnmdb.com', '-2']
['7826', 'csrc.gov.cn', '-2']
['7829', 'peopledaily.com.cn', '-2']
['7834', 'deccanchronicle.com', '-2']
['7950', 'wenjuan.com', '-2']
['8096', 'onelink.to', '-2']
['8224', 'diandongwajueji.com', '-2']
['8247', 'enorth.com.cn', '-2']
['8262', 'kdocs.cn', '-2']
['8276', 'dcloud.net.cn', '-2']
['8391', 'dzsc.com', '-2']
['8421', 'dnsv1.com', '-2']
['8443', 'ssjzw.com', '-2']
['8444', '1717pk.com', '-2']
['8627', 'jianzhiba.net', '-2']
['8679', 'wetv.vip', '-2']
['8744', 'shangxueba.com', '-2']
['8748', 'laobiao.com', '-2']
['8749', 'unlp.edu.ar', '-2']
['8827', 'pc6.com', '-2']
['8984', 'getui.net', '-2']
['9195', 'accesstrade.net', '-2']
['9422', 'xiumi.us', '-2']
['9576', 'dapenti.com', '-2']
['9584', 'workercn.cn', '-2']
['9662', '81.cn', '-2']
['9852', 'incapdns.net', '-2']
['10293', 'takungpao.com', '-2']
['10365', 'maxtv.cn', '-2']
['10405', 'p2cdn.com', '-2']
['10411', 'qiniup.com', '-2']
['10460', 'chinacourt.org', '-2']
['10504', 'mioffice.cn', '-2']
['10565', 'mycashcentral.com', '-2']
['10617', 'haodf.com', '-2']
['10630', 'qcc.com', '-2']
['10674', 'seedit.com', '-2']
['10823', 'goldxuan.com', '-2']
['10918', 'samsung-gamelauncher.com', '-2']
['10943', 'bovada.lv', '-2']
['11376', 'hebei.gov.cn', '-2']
['11741', 'ifrance.com', '-2']
['11795', 'travelpod.com', '-2']
['11815', '5ykj.com', '-2']
['11850', 'ankerjiedian.com', '-2']
['11874', 'nvidiagrid.net', '-2']
['11878', 'yjbys.com', '-2']
['11963', 'xitongzhijia.net', '-2']
['12063', 'baca.co.id', '-2']
['12143', 'freecsstemplates.org', '-2']
['12184', 'quibblo.com', '-2']
['12217', 'xunyou.mobi', '-2']
['12250', 'mod.gov.cn', '-2']
['12331', 'miibeian.gov.cn', '-2']
['12632', 'samr.gov.cn', '-2']
['12797', 'jia.com', '-2']
['12999', 'virginatlantic.com', '-2']
['13117', 'fastly.com', '-2']
['13194', 'dmzj.com', '-2']
['13315', 'downza.cn', '-2']
['13418', 'cdn-go.cn', '-2']
['13629', 'topwebanswers.com', '-2']
['13740', 'downxia.com', '-2']
['13742', 'memuplay.com', '-2']
['13803', 'spreadfirefox.com', '-2']
['14122', 'fsnet.co.uk', '-2']
['14134', 'xdomain.jp', '-2']
['14136', 'janssen.com', '-2']
['14239', 'streetsblog.org', '-2']
['14343', 'slide.com', '-2']
['14381', 'deyi.com', '-2']
['14532', 'snack.ws', '-2']
['14682', 'maimai666.com', '-2']
['14686', 'mobilelegends.com', '-2']
['14703', 'wetvinfo.com', '-2']
['14726', 'unjs.com', '-2']
['15012', '122.gov.cn', '-2']
['15021', 'webring.org', '-2']
['15103', 'chinasafety.gov.cn', '-2']
['15132', 'jandan.net', '-2']
['15194', 'centris.ca', '-2']
['15226', 'flash.cn', '-2']
['15261', 'icq100.com', '-2']
['15272', 'baofeng.com', '-2']
['15306', 'gaoqing.la', '-2']
['15379', 'xiaoman.cn', '-2']
['15467', 'godic.net', '-2']
['15520', 'financeformeandyou.com', '-2']
['15564', 'micronsofte-online.com', '-2']
['15623', 'pe.hu', '-2']
['15642', 'yeepay.com', '-2']
['15705', '447651.com', '-2']
['15851', '96.lt', '-2']
['16036', 'bejson.com', '-2']
['16051', 'templated.co', '-2']
['16102', '51.com', '-2']
['16233', 'feng.com', '-2']
['16284', 'dcloud.io', '-2']
['16307', 'searchandshopping.org', '-2']
['16393', 'askci.com', '-2']
['16830', 'i4.cn', '-2']
['16875', 'cocomanhua.com', '-2']
['17160', 'cbrc.gov.cn', '-2']
['17190', 'truckcamvideos.com', '-2']
['17276', 'edubirdies.org', '-2']
['17945', 'kmu.gov.ua', '-2']
['18076', 'ipip.net', '-2']
['18306', '1ppt.com', '-2']
['18485', 'jp.sharp', '-2']
['18515', 'heartland.org', '-2']
['18625', 'mubu.com', '-2']
['18938', 'zhb.gov.cn', '-2']
['18949', 'googlelabs.com', '-2']
['19007', 'gameloop.com', '-2']
['19034', 'meb.k12.tr', '-2']
['19208', 'identi.ca', '-2']
['19472', 'ffxiv-knights-ivalice.org', '-2']
['19739', 'tibet.cn', '-2']
['19821', 'fis-ski.com', '-2']
['19839', '0catch.com', '-2']
['20216', 'publicbt.com', '-2']
['20332', 'taiwan.cn', '-2']
['20371', 'upupadvice.com', '-2']
['20457', 'btcflash.me', '-2']
['20592', 'd.cn', '-2']
['20680', 'mnr.gov.cn', '-2']
['20864', 'akb48matomemory.com', '-2']
['20911', 'indianz.com', '-2']
['21011', 'url.tw', '-2']
['21013', 'scxhszh.com', '-2']
['21188', 'redherring.com', '-2']
['21442', 'addr.com', '-2']
['21450', 'virscan.org', '-2']
['21494', 'essaypro.ws', '-2']
['21503', 'upm.edu.my', '-2']
['21535', 'cantonfair.org.cn', '-2']
['21659', 'aisee.tv', '-2']
['21715', 'uzzf.com', '-2']
['21727', 'webkaka.com', '-2']
['21762', 'pedaily.cn', '-2']
['21825', 'essayshark.ws', '-2']
['21866', 'szfw.org', '-2']
['21972', 'hfcdn.tech', '-2']
