['333541', 'xiangtuan.xyz', '-2']
['333545', 'egov.vn', '-2']
['333599', 'deepwave.com', '-2']
['333627', 'pccoo.cn', '-2']
['333679', 'uniglassvidros.com.br', '-2']
['333820', 'imicams.ac.cn', '-2']
['333821', 'hsysccj.com', '-2']
['333823', 'kurdishquestion.com', '-2']
['333959', 'gpkcc.co.kr', '-2']
['333971', 'pengb.work', '-2']
['333981', 'zzjxzdh.com', '-2']
['334042', 'rrpksarlahi.org.np', '-2']
['334048', 'thegameshow.com', '-2']
['334134', 'theaviationhub.com', '-2']
['334150', 'club-viva.at', '-2']
['334206', 'bjkpx.com', '-2']
['334264', 'freedrive.com', '-2']
['334282', 'fzchsh.com', '-2']
['334310', 'iua.edu.sd', '-2']
['334437', 'scmjgs.com', '-2']
['334481', '2url.de', '-2']
['334515', 'travelvideos.com', '-2']
['334522', '727sic.com', '-2']
['334563', 'tvseriesmovie.com', '-2']
['334695', 'acenet.net.id', '-2']
['334710', 'qy119.com', '-2']
['334715', 'orphans.org', '-2']
['334736', 'atropicalaffair.net', '-2']
['335319', 'hbtaiyang.com', '-2']
['335348', 'packway.cn', '-2']
['335430', 'windowcoverings.org', '-2']
['335617', 'fanpier.com', '-2']
['335688', 'rayhumancapital.net', '-2']
['335696', 'csplt.com', '-2']
['335703', 'scsanyu.com', '-2']
['335830', 'xinyiwanjia.com', '-2']
['335886', 'harness4.com', '-2']
['335908', 'direkizleyin.com', '-2']
['335911', 'talkatastic.be', '-2']
['335949', 'prettyhappy.com', '-2']
['335956', 'uggbuys.com', '-2']
['335972', 'ban.jo', '-2']
['335982', 'hfxkled.com', '-2']
['336141', 'cssvault.com', '-2']
['336209', 'cybergeddon.com', '-2']
['336233', 'tracewap.com', '-2']
['336234', 'hotavxxx.com', '-2']
['336236', 'tieliu.com.cn', '-2']
['336268', 'cs7boots1.com', '-2']
['336280', 'biensfilip.live', '-2']
['336300', '420907style.com', '-2']
['336314', 'xicn.net', '-2']
['336358', 'nirogdhampatrika.com', '-2']
['336363', 'tpaequipamentos.com.br', '-2']
['336465', 'andressadorothea.com.br', '-2']
['336493', 'festivalfuochidanzanti.com', '-2']
['336577', 'shokdown.com', '-2']
['336754', 'xyqyedu.com', '-2']
['336862', 'timberlandshoes.net.co', '-2']
['336911', 'yyblzx.cn', '-2']
['336946', 'panyu.gov.cn', '-2']
['336967', 'ravensofficialauthentic.com', '-2']
['337058', 'accreditedsurveyors.com', '-2']
['337115', 'kingsolomoncasino.com', '-2']
['337148', 'bushin30seconds.org', '-2']
['337155', 'officialbuccaneerslockerrooms.com', '-2']
['337212', 'bestmedspurchase.su', '-2']
['337224', 'onex57263.top', '-2']
['337263', 'jinz68.com', '-2']
