['666721', '80665555.com', '-2']
['666804', 'fujipifa.com', '-2']
['666847', 'gksdrenthe.nl', '-2']
['666850', 'ak-tracker.com', '-2']
['666953', 'yuhuyouxi.com', '-2']
['666960', 'finance.go.ug', '-2']
['667001', 'ameengage.com', '-2']
['667047', 'gzqmyjc.com', '-2']
['667100', 'donnablack.com', '-2']
['667141', 'zidoosign.com', '-2']
['667200', 'nike.net.au', '-2']
['667204', '5iz.cc', '-2']
['667402', 'linkmaster.com', '-2']
['667421', 'kamagrasun.com', '-2']
['667462', 'sound-fishing.net', '-2']
['667463', 'cdnfind.net', '-2']
['667582', 'qhqlxs.com', '-2']
['667638', 'game-saratov.ru', '-2']
['667684', 'bianzhile.com', '-2']
['667835', 'homemadebydebbie.com', '-2']
['667929', 'b2bic.com', '-2']
['668059', 'chickipedia.com', '-2']
['668191', 'eurojournals.com', '-2']
['668262', 'rosiamontana.org', '-2']
['668415', 'galeripos.com', '-2']
['668591', 'sinopool.ir', '-2']
['668761', 'gxhd.com.cn', '-2']
['668806', 'gcuc.edu.gh', '-2']
['668899', 'winhelp.us', '-2']
['668902', 'educationtips.eu', '-2']
['668938', 'wxzmyjx.com', '-2']
['669009', 'sdcccz.com', '-2']
['669044', 'sylqmygfw.com', '-2']
['669076', 'dl-l-tax.gov.cn', '-2']
['669101', '0769yfr.com', '-2']
['669179', 'cala666.cn', '-2']
['669224', 'magnetic.com', '-2']
['669265', 'kkk5.com', '-2']
['669281', 'm51c.net', '-2']
['669282', 'chunlian.org', '-2']
['669298', 'jammuuniversity.in', '-2']
['669317', 'business-romania.net', '-2']
['669380', '4nala.com', '-2']
['669451', 'nike-shoes.net.au', '-2']
['669493', 'jismug.com', '-2']
['669495', 'iomegacloud.com', '-2']
['669551', 'zkfd.net', '-2']
['669666', 'zgzhengyu.com', '-2']
['669717', 'feihou.co', '-2']
['669802', 'nice23.com', '-2']
['670006', 'kintion.com.cn', '-2']
['670020', 'digitalsherpa.com', '-2']
['670027', 'ethomdigital.com', '-2']
['670083', 'softinnesol.com', '-2']
['670141', 'urbanhopebd.com', '-2']
['670226', 'wanhu888.com', '-2']
['670246', 'multiguestbook.com', '-2']
['670361', 'ssat.me', '-2']
['670438', 'yangcong345.com', '-2']
['670552', 'hhxx.com.cn', '-2']
['670640', 'hbpengchuang.com', '-2']
['670857', 'dbajosiebie-blog.pl', '-2']
['671016', 'bitbounce.com', '-2']
['671039', 'tomflocco.com', '-2']
['671100', 'icoc.cn', '-2']
['671174', '1xredirpkbvv.top', '-2']
['671185', 'specialkidsclubhouse.co.za', '-2']
['671266', 'lifeofjustin.net', '-2']
['671376', 'androiddevtools.cn', '-2']
['671448', 'burberryaustralia.com.au', '-2']
['671480', 'firstsextube.com', '-2']
['671563', 'redtyger.co.uk', '-2']
['671703', 'webenza.in', '-2']
['671723', 'inkpot.com', '-2']
['671772', 'clinicaltrial.gov', '-2']
['671873', 'sukeyb.com', '-2']
['672017', 'jinmenrc.com', '-2']
['672154', 'peymankala.ir', '-2']
['672218', 'heval.net.cn', '-2']
['672234', 'ikonboard.com', '-2']
['672354', 'michaelkors.net.co', '-2']
['672419', 'mybazarnandail.com', '-2']
['672459', 'xtc-modified.org', '-2']
['672904', '1000he.cn', '-2']
['672947', 'armandaily.ir', '-2']
['673041', 'infotechnologyit.com', '-2']
['673220', 'digiescola.com.br', '-2']
['673267', 'katie-mcmanus.com', '-2']
['673421', 'binacefree.com', '-2']
['673429', 'bartek.io', '-2']
['673528', 'hwazn.com', '-2']
['673595', 'tzdongzheng.net', '-2']
['673755', 'xindm.cn', '-2']
['673787', 'rvoml.com', '-2']
['673907', 'skadiana.com', '-2']
['673992', 'kreditvergleichs.top', '-2']
['674011', 'iwpdemo.com', '-2']
['674014', 'kangmei.com.cn', '-2']
['674144', 'wrestlingfanssuck.com', '-2']
['674198', 'monkrus.ws', '-2']
['674203', '4694z.com', '-2']
['674224', 'casinoribe.org', '-2']
['674486', 'lyxbmy.com', '-2']
['674502', 'elfinanciero.com', '-2']
['674688', 'softplatz.com', '-2']
['674778', 'hrbdbzz.com', '-2']
['674815', 'genericavana.com', '-2']
['674843', 'jsgyxx.net', '-2']
['674859', 'ohos-kw.ng', '-2']
['674893', 'webmaster.biz.tr', '-2']
['675103', 'kemplion.com', '-2']
['675123', '1xbet-mobi.icu', '-2']
['675131', 'wing2wingproject.com', '-2']
['675255', 'kodomosushi.com', '-2']
['675389', 'iawiki.net', '-2']
['675454', 'idgtn.net', '-2']
['675510', 'prqgwut.ru', '-2']
['675572', 'jewpro.co.uk', '-2']
['675597', 'bingiton.com', '-2']
['675636', 'abarancapital.com', '-2']
['675644', 'cdzmz.com', '-2']
