site,category_rank,tranco_rank,tld,tld_type,country,delv_result
amazon.com,1,18,com,gTLD,US,0
ebay.com,2,67,com,gTLD,US,0
rakuten.co.jp,3,179,jp,ccTLD,JP,0
amazon.co.jp,4,105,jp,ccTLD,JP,0
amazon.de,5,210,de,ccTLD,DE,0
aliexpress.com,6,91,com,gTLD,,0
amazon.co.uk,7,140,uk,ccTLD,UK,0
walmart.com,8,176,com,gTLD,US,0
etsy.com,9,113,com,gTLD,US,0
craigslist.org,10,325,org,gTLD,,0
ebay.co.uk,11,510,uk,ccTLD,UK,0
avito.ru,12,482,ru,ccTLD,RU,1
mercadolivre.com.br,13,814,br,ccTLD,BR,0
amazon.in,14,102,in,ccTLD,IN,0
taobao.com,15,19,com,gTLD,,0
ebay.de,16,449,de,ccTLD,DE,0
allegro.pl,17,726,pl,ccTLD,PL,0
trendyol.com,18,640,com,gTLD,,0
amazon.it,19,555,it,ccTLD,IT,0
amazon.fr,20,466,fr,ccTLD,FR,0
leboncoin.fr,21,1126,fr,ccTLD,FR,0
wildberries.ru,22,754,ru,ccTLD,RU,0
amazon.ca,23,344,ca,ccTLD,US,0
jd.com,24,30,com,gTLD,CN,0
sahibinden.com,25,717,com,gTLD,,0
mercadolibre.com.ar,26,758,ar,ccTLD,AR,0
ebay-kleinanzeigen.de,27,953,de,ccTLD,DE,0
target.com,28,447,com,gTLD,US,0
tmall.com,29,6,com,gTLD,,0
flipkart.com,30,262,com,gTLD,,0
amazon.es,31,585,es,ccTLD,ES,0
mercadolibre.com.mx,32,710,mx,ccTLD,MX,0
olx.com.br,33,3009,br,ccTLD,BR,0
aliexpress.ru,34,594,ru,ccTLD,RU,0
market.yandex.ru,35,,ru,ccTLD,RU,0
pinduoduo.com,36,2190,com,gTLD,CN,0
tokopedia.com,37,360,com,gTLD,ID,0
shopee.co.id,38,934,id,ccTLD,ID,0
wayfair.com,39,532,com,gTLD,US,0
olx.pl,40,1746,pl,ccTLD,PL,0
americanas.com.br,41,3271,br,ccTLD,BR,0
shopping.yahoo.co.jp,42,,jp,ccTLD,JP,0
wish.com,43,1352,com,gTLD,US,0
alibaba.com,44,162,com,gTLD,,0
mercari.com,45,772,com,gTLD,JP,0
ozon.ru,46,992,ru,ccTLD,RU,0
kakaku.com,47,979,com,gTLD,JP,0
amazon.com.br,48,2220,br,ccTLD,BR,0
bol.com,49,3739,com,gTLD,NL,1
hepsiburada.com,50,2487,com,gTLD,,0
