site,category_rank,tranco_rank,tld,tld_type,country,delv_result
paypal.com,1,81,com,gTLD,US,1
chase.com,2,182,com,gTLD,US,0
intuit.com,3,195,com,gTLD,US,0
wellsfargo.com,4,334,com,gTLD,US,0
bankofamerica.com,5,574,com,gTLD,US,0
fidelity.com,6,473,com,gTLD,US,0
binance.com,7,369,com,gTLD,US,0
capitalone.com,8,542,com,gTLD,US,0
investing.com,9,401,com,gTLD,,0
tradingview.com,10,161,com,gTLD,US,0
creditkarma.com,11,1392,com,gTLD,US,0
etoro.com,12,627,com,gTLD,CY,0
coinmarketcap.com,13,340,com,gTLD,US,0
sberbank.ru,14,770,ru,ccTLD,RU,0
adp.com,15,663,com,gTLD,US,0
credit-agricole.fr,16,3319,fr,ccTLD,FR,0
marketwatch.com,17,333,com,gTLD,US,0
finance.yahoo.co.jp,18,,jp,ccTLD,JP,0
sbisec.co.jp,19,1904,jp,ccTLD,JP,0
coinbase.com,20,1146,com,gTLD,US,0
americanexpress.com,21,524,com,gTLD,US,0
ameritrade.com,22,843,com,gTLD,US,0
onlinesbi.com,23,382,com,gTLD,,0
robinhood.com,24,1096,com,gTLD,US,0
rakuten-sec.co.jp,25,1497,jp,ccTLD,JP,0
royalbank.com,26,1500,com,gTLD,CA,0
citi.com,27,812,com,gTLD,US,0
td.com,28,859,com,gTLD,CA,0
bancoestado.cl,29,5099,cl,ccTLD,CL,0
moneycontrol.com,30,779,com,gTLD,IN,0
hdfcbank.com,31,471,com,gTLD,IN,0
zerodha.com,32,676,com,gTLD,IN,0
schwab.com,33,883,com,gTLD,US,1
patria.org.ve,34,959,ve,ccTLD,VE,0
coingecko.com,35,906,com,gTLD,,0
alipay.com,36,58,com,gTLD,,0
labanquepostale.fr,37,3785,fr,ccTLD,FR,0
investopedia.com,38,315,com,gTLD,US,0
poste.it,39,2176,it,ccTLD,IT,0
iqbroker.com,40,652,com,gTLD,VC,0
eastmoney.com,41,1086,com,gTLD,,0
rakuten-card.co.jp,42,2457,jp,ccTLD,JP,0
ameli.fr,43,3200,fr,ccTLD,FR,0
accesstra.de,44,12635,de,ccTLD,DE,0
fool.com,45,738,com,gTLD,,0
experian.com,46,2015,com,gTLD,,0
spectrum.net,47,2817,net,gTLD,US,0
finance.naver.com,48,,com,gTLD,,0
vanguard.com,49,1964,com,gTLD,US,0
syf.com,50,2731,com,gTLD,US,0
