site,category_rank,tranco_rank,tld,tld_type,country,delv_result
healthline.com,1,251,com,gTLD,US,0
nih.gov,2,61,gov,sTLD,,1
cvs.com,3,813,com,gTLD,US,0
walgreens.com,4,768,com,gTLD,US,0
cdc.gov,5,121,gov,sTLD,,1
webmd.com,6,312,com,gTLD,US,0
medicalnewstoday.com,7,587,com,gTLD,US,0
mayoclinic.org,8,452,org,gTLD,US,0
doctolib.fr,9,4814,fr,ccTLD,FR,1
nhs.uk,10,,uk,ccTLD,UK,0
tuasaude.com,11,9015,com,gTLD,,0
who.int,12,106,int,sTLD,,0
aarp.org,13,1288,org,gTLD,US,0
medlineplus.gov,14,1374,gov,sTLD,,1
health.ny.gov,15,,gov,sTLD,,0
athenahealth.com,16,9315,com,gTLD,,0
irecommend.ru,17,5574,ru,ccTLD,RU,0
alodokter.com,18,995,com,gTLD,,0
myfitnesspal.com,19,2441,com,gTLD,US,0
riteaid.com,20,4839,com,gTLD,,0
fitbit.com,21,1798,com,gTLD,US,0
msdmanuals.com,22,6294,com,gTLD,US,0
1mg.com,23,4429,com,gTLD,,0
imss.gob.mx,24,18259,mx,ccTLD,MX,0
babycenter.com,25,2749,com,gTLD,US,0
apteka.ru,26,13170,ru,ccTLD,RU,0
goodrx.com,27,7947,com,gTLD,US,0
abczdrowie.pl,28,15778,pl,ccTLD,PL,0
psychologytoday.com,29,536,com,gTLD,,0
halodoc.com,30,31702,com,gTLD,,0
clevelandclinic.org,31,2014,org,gTLD,US,0
menshealth.com,32,2350,com,gTLD,US,0
medonet.pl,33,15722,pl,ccTLD,PL,0
doctissimo.fr,34,8561,fr,ccTLD,FR,0
drugs.com,35,2739,com,gTLD,US,0
popmama.com,36,3729,com,gTLD,US,0
womenshealthmag.com,37,2961,com,gTLD,US,0
vaccinefinder.org,38,6743,org,gTLD,US,0
facty.com,39,71433,com,gTLD,,0
doctoralia.com.br,40,67449,br,ccTLD,BR,0
vidal.ru,41,97475,ru,ccTLD,RU,0
medscape.com,42,1241,com,gTLD,US,0
medicinenet.com,43,2080,com,gTLD,US,0
rki.de,44,4512,de,ccTLD,DE,0
my-personaltrainer.it,45,27227,it,ccTLD,IT,0
verywellhealth.com,46,2583,com,gTLD,US,0
webteb.com,47,6990,com,gTLD,,0
sehatq.com,48,24256,com,gTLD,US,0
kp.org,49,18770,org,gTLD,US,0
login.nhs.uk,50,156890,uk,ccTLD,UK,0
