site,category_rank,tranco_rank,tld,tld_type,country,delv_result
archdaily.com,1,1683,com,gTLD,US,0
edf.fr,2,5760,fr,ccTLD,FR,0
grainger.com,3,6158,com,gTLD,US,0
qcc.com,4,10630,com,gTLD,,-2
indianoil.in,5,55584,in,ccTLD,IN,0
mosenergosbyt.ru,6,53150,ru,ccTLD,RU,0
skyscrapercity.com,7,6304,com,gTLD,CA,0
nonghyup.com,8,17201,com,gTLD,KR,0
mcmaster.com,9,10958,com,gTLD,,0
procore.com,10,16311,com,gTLD,,0
pge.com,11,9416,com,gTLD,,0
hpcl.co.in,12,41219,in,ccTLD,IN,0
cpfl.com.br,13,46401,br,ccTLD,BR,1
104.ua,14,16806,ua,ccTLD,UA,0
tepco.co.jp,15,12759,jp,ccTLD,JP,0
angieslist.com,16,3209,com,gTLD,US,0
engie.fr,17,42754,fr,ccTLD,FR,0
duke-energy.com,18,11786,com,gTLD,US,0
eonenergy.com,19,48532,com,gTLD,GB,0
cat.com,20,9121,com,gTLD,US,0
sce.com,21,12582,com,gTLD,US,0
kepco.jp,22,94311,jp,ccTLD,JP,0
shell.com,23,3938,com,gTLD,GB,1
edfenergy.com,24,32497,com,gTLD,GB,0
ruralking.com,25,86481,com,gTLD,,0
abb.com,26,2705,com,gTLD,CH,0
fpl.com,27,17625,com,gTLD,,0
nationalgridus.com,28,22774,com,gTLD,US,0
firstenergycorp.com,29,33361,com,gTLD,,0
hydroquebec.com,30,27023,com,gTLD,CA,1
enel.it,31,28725,it,ccTLD,IT,0
direct-energie.com,32,77759,com,gTLD,FR,0
regione.piemonte.it,33,86779,it,ccTLD,IT,0
scottishpower.co.uk,34,111834,uk,ccTLD,UK,0
enedis.fr,35,18979,fr,ccTLD,FR,0
plataformaarquitectura.cl,36,15121,cl,ccTLD,CL,0
landandfarm.com,37,76211,com,gTLD,US,0
archon.pl,38,228243,pl,ccTLD,PL,1
regione.toscana.it,39,44971,it,ccTLD,IT,0
solarweb.com,40,104571,com,gTLD,AT,0
sunnyportal.com,41,52652,com,gTLD,,0
solaredge.com,42,21016,com,gTLD,,0
wm.com,43,14825,com,gTLD,,0
bricoman.it,44,146366,it,ccTLD,IT,0
obi.hu,45,201442,hu,ccTLD,HU,0
geoportal360.pl,46,465382,pl,ccTLD,PL,0
wur.nl,47,5106,nl,ccTLD,NL,0
buildertrend.net,48,32724,net,gTLD,US,0
landwirt.com,49,73170,com,gTLD,,0
supplyhouse.com,50,52430,com,gTLD,,0
