site,category_rank,tranco_rank,tld,tld_type,country,delv_result
irs.gov,1,250,gov,sTLD,,1
service.gov.uk,2,1335,uk,ccTLD,UK,0
ca.gov,3,219,gov,sTLD,,0
gosuslugi.ru,4,533,ru,ccTLD,RU,0
gov.uk,5,,uk,ccTLD,UK,1
turkiye.gov.tr,6,1313,tr,ccTLD,TR,0
ny.gov,7,519,gov,sTLD,,0
census.gov.uk,8,25818,uk,ccTLD,UK,0
sp.gov.br,9,,br,ccTLD,BR,0
meb.gov.tr,10,2910,tr,ccTLD,TR,-2
canada.ca,11,525,ca,ccTLD,CA,0
correios.com.br,12,4025,br,ccTLD,BR,1
noticiasconcursos.com.br,13,82737,br,ccTLD,BR,0
japanpost.jp,14,1233,jp,ccTLD,JP,0
dpboss.net,15,133838,net,gTLD,,0
nta.go.jp,16,1509,jp,ccTLD,JP,0
mos.ru,17,1382,ru,ccTLD,RU,0
europa.eu,18,53,eu,ccTLD,EU,1
anses.gob.ar,19,11089,ar,ccTLD,AR,0
gov.br,20,,br,ccTLD,BR,1
acesso.gov.br,21,17337,br,ccTLD,BR,0
cra-arc.gc.ca,22,2345,ca,ccTLD,CA,0
fazenda.gov.br,23,2234,br,ccTLD,BR,1
cowin.gov.in,24,6795,in,ccTLD,IN,0
afip.gob.ar,25,2437,ar,ccTLD,AR,0
ssa.gov,26,1375,gov,sTLD,,1
nalog.ru,27,1636,ru,ccTLD,RU,0
sat.gob.mx,28,2738,mx,ccTLD,MX,0
argentina.gob.ar,29,5145,ar,ccTLD,AR,0
inps.it,30,3615,it,ccTLD,IT,0
mg.gov.br,31,,br,ccTLD,BR,0
royalmail.com,32,3758,com,gTLD,GB,0
nyc.gov,33,1180,gov,sTLD,,1
sarkariresult.com,34,1495,com,gTLD,,0
nsw.gov.au,35,1072,au,ccTLD,AU,1
mhlw.go.jp,36,1760,jp,ccTLD,JP,1
wa.gov,37,1006,gov,sTLD,,0
jusbrasil.com.br,38,4783,br,ccTLD,BR,0
gob.mx,39,,mx,ccTLD,MX,1
uscis.gov,40,1428,gov,sTLD,,1
rj.gov.br,41,,br,ccTLD,BR,0
state.gov,42,428,gov,sTLD,,1
ohio.gov,43,2217,gov,sTLD,,0
va.gov,44,1122,gov,sTLD,,1
incometaxindiaefiling.gov.in,45,1283,in,ccTLD,IN,0
texas.gov,46,1238,gov,sTLD,,1
gov.hu,47,7306,hu,ccTLD,HU,0
consultant.ru,48,1425,ru,ccTLD,RU,0
juntadeandalucia.es,49,2664,es,ccTLD,ES,0
laposte.fr,50,3713,fr,ccTLD,FR,0
