News And Media
 Rank 	Website 	Category 	Change 	Avg. Visit Duration 	Pages / Visit 	Bounce Rate 
1	yahoo.com website analytics yahoo.com 	News and Media	=	00:07:46	5.80	35.42%
2	yahoo.co.jp website analytics yahoo.co.jp 	News and Media	=	00:09:24	7.00	31.73%
3	naver.com website analytics naver.com 	News and Media	=	00:20:26	13.65	21.47%
4	qq.com website analytics qq.com 	News and Media	=	00:03:59	3.22	44.81%
5	msn.com website analytics msn.com 	News and Media	=	00:06:14	3.86	54.80%
6	globo.com website analytics globo.com 	News and Media	=	00:06:08	2.82	49.01%
7	uol.com.br website analytics uol.com.br 	News and Media	+1	00:06:34	3.60	51.63%
8	news.yahoo.co.jp website analytics news.yahoo.co.jp 	News and Media	-1	00:06:25	4.30	30.10%
9	bbc.co.uk website analytics bbc.co.uk 	News and Media	=	00:04:50	3.16	47.43%
10	news.google.com website analytics news.google.com 	News and Media	+1	00:06:00	3.36	36.36%
11	cnn.com website analytics cnn.com 	News and Media	-1	00:03:02	1.97	58.28%
12	bbc.com website analytics bbc.com 	News and Media	+1	00:02:40	2.00	61.95%
13	finance.yahoo.com website analytics finance.yahoo.com 	News and Media	-1	00:07:40	5.62	47.69%
14	sohu.com website analytics sohu.com 	News and Media	+2	00:02:01	3.00	57.19%
15	wp.pl website analytics wp.pl 	News and Media	=	00:07:16	7.56	29.55%
16	nytimes.com website analytics nytimes.com 	News and Media	-2	00:02:52	2.14	63.34%
17	hurriyet.com.tr website analytics hurriyet.com.tr 	News and Media	+3	00:04:57	5.61	50.91%
18	dailymail.co.uk website analytics dailymail.co.uk 	News and Media	-1	00:04:11	3.24	61.27%
19	theguardian.com website analytics theguardian.com 	News and Media	=	00:03:29	2.47	58.30%
20	definition.org website analytics definition.org 	News and Media	-2	00:03:54	5.34	44.34%
21	foxnews.com website analytics foxnews.com 	News and Media	=	00:07:48	3.15	47.81%
22	sina.cn website analytics sina.cn 	News and Media	+16	00:02:33	2.82	45.99%
23	onet.pl website analytics onet.pl 	News and Media	=	00:06:40	5.12	36.01%
24	163.com website analytics 163.com 	News and Media	+1	00:03:28	4.28	39.02%
25	livedoor.jp website analytics livedoor.jp 	News and Media	-3	00:06:09	3.09	44.49%
26	sozcu.com.tr website analytics sozcu.com.tr 	News and Media	+10	00:06:32	4.93	46.48%
27	milliyet.com.tr website analytics milliyet.com.tr 	News and Media	+7	00:04:39	7.60	51.44%
28	news.yahoo.com website analytics news.yahoo.com 	News and Media	-2	00:03:25	2.83	59.54%
29	news.naver.com website analytics news.naver.com 	News and Media	-2	00:11:02	6.44	33.74%
30	infobae.com website analytics infobae.com 	News and Media	-6	00:11:12	3.67	54.07%
31	kompas.com website analytics kompas.com 	News and Media	+4	00:05:30	2.53	57.83%
32	t-online.de website analytics t-online.de 	News and Media	-2	00:06:49	5.37	35.65%
33	indiatimes.com website analytics indiatimes.com 	News and Media	-1	00:04:49	3.25	58.88%
34	sabah.com.tr website analytics sabah.com.tr 	News and Media	-6	00:02:26	7.76	42.56%
35	tribunnews.com website analytics tribunnews.com 	News and Media	+2	00:05:32	3.20	38.77%
36	goo.ne.jp website analytics goo.ne.jp 	News and Media	-5	00:02:24	2.48	61.04%
37	interia.pl website analytics interia.pl 	News and Media	+2	00:07:12	6.18	33.88%
38	sina.com.cn website analytics sina.com.cn 	News and Media	+6	00:02:04	3.28	44.07%
39	bild.de website analytics bild.de 	News and Media	+2	00:04:26	3.06	37.88%
40	repubblica.it website analytics repubblica.it 	News and Media	+2	00:08:54	3.73	49.80%
41	detik.com website analytics detik.com 	News and Media	+4	00:05:22	2.76	47.44%
42	livedoor.com website analytics livedoor.com 	News and Media	-2	00:04:55	3.55	47.31%
43	unotv.com website analytics unotv.com 	News and Media	-14	00:00:16	3.73	7.71%
44	washingtonpost.com website analytics washingtonpost.com 	News and Media	-1	00:02:43	2.15	61.64%
45	iqiyi.com website analytics iqiyi.com 	News and Media	-12	00:04:55	3.30	40.84%
46	rambler.ru website analytics rambler.ru 	News and Media	+1	00:04:49	4.49	40.72%
47	timesofindia.com website analytics timesofindia.com 	News and Media	+1	00:00:13	2.15	10.74%
48	cnbc.com website analytics cnbc.com 	News and Media	+1	00:02:20	1.69	74.08%
49	elpais.com website analytics elpais.com 	News and Media	+1	00:06:27	2.26	59.76%
50	news.livedoor.com website analytics news.livedoor.com 	News and Media	-4	00:03:43	3.45	49.40%
