site,category_rank,tranco_rank,tld,tld_type,country,delv_result
yahoo.com,1,17,com,gTLD,US,0
yahoo.co.jp,2,75,jp,ccTLD,JP,0
naver.com,3,82,com,gTLD,KR,0
qq.com,4,10,com,gTLD,CN,0
msn.com,5,50,com,gTLD,US,0
globo.com,6,407,com,gTLD,BR,0
uol.com.br,7,345,br,ccTLD,BR,0
news.yahoo.co.jp,8,,jp,ccTLD,JP,0
bbc.co.uk,9,85,uk,ccTLD,UK,0
news.google.com,10,,com,gTLD,,0
cnn.com,11,72,com,gTLD,US,0
bbc.com,12,92,com,gTLD,,0
finance.yahoo.com,13,,com,gTLD,,0
sohu.com,14,15,com,gTLD,CN,0
wp.pl,15,1182,pl,ccTLD,PL,0
nytimes.com,16,51,com,gTLD,US,0
hurriyet.com.tr,17,1153,tr,ccTLD,TR,0
dailymail.co.uk,18,163,uk,ccTLD,UK,0
theguardian.com,19,79,com,gTLD,,0
definition.org,20,11420,org,gTLD,US,0
foxnews.com,21,257,com,gTLD,US,1
sina.cn,22,1110,cn,ccTLD,CN,0
onet.pl,23,1117,pl,ccTLD,PL,0
163.com,24,138,com,gTLD,CN,0
livedoor.jp,25,1025,jp,ccTLD,JP,0
sozcu.com.tr,26,1756,tr,ccTLD,TR,0
milliyet.com.tr,27,1501,tr,ccTLD,TR,0
news.yahoo.com,28,,com,gTLD,,0
news.naver.com,29,,com,gTLD,,0
infobae.com,30,1408,com,gTLD,AR,0
kompas.com,31,197,com,gTLD,,0
t-online.de,32,1069,de,ccTLD,DE,0
indiatimes.com,33,229,com,gTLD,,0
sabah.com.tr,34,3429,tr,ccTLD,TR,0
tribunnews.com,35,157,com,gTLD,,0
goo.ne.jp,36,878,jp,ccTLD,JP,0
interia.pl,37,1673,pl,ccTLD,PL,0
sina.com.cn,38,38,cn,ccTLD,CN,0
bild.de,39,1471,de,ccTLD,DE,1
repubblica.it,40,1009,it,ccTLD,IT,0
detik.com,41,269,com,gTLD,,0
livedoor.com,42,1616,com,gTLD,JP,0
unotv.com,43,23506,com,gTLD,MX,0
washingtonpost.com,44,115,com,gTLD,US,0
iqiyi.com,45,786,com,gTLD,,0
rambler.ru,46,740,ru,ccTLD,RU,0
timesofindia.com,47,10639,com,gTLD,,0
cnbc.com,48,172,com,gTLD,US,0
elpais.com,49,595,com,gTLD,,0
news.livedoor.com,50,,com,gTLD,,0
