site,category_rank,tranco_rank,tld,tld_type,country,delv_result
accuweather.com,1,505,com,gTLD,US,0
weather.com,2,337,com,gTLD,US,0
brainly.co.id,3,2365,id,ccTLD,ID,0
blackboard.com,4,573,com,gTLD,US,1
quizizz.com,5,1494,com,gTLD,,0
quizlet.com,6,383,com,gTLD,,1
schoology.com,7,1177,com,gTLD,,0
eba.gov.tr,8,3176,tr,ccTLD,TR,0
gismeteo.ru,9,946,ru,ccTLD,RU,0
goodreads.com,10,266,com,gTLD,US,0
researchgate.net,11,158,net,gTLD,DE,0
udemy.com,12,221,com,gTLD,US,0
librus.pl,13,4566,pl,ccTLD,PL,0
clever.com,14,3334,com,gTLD,US,0
brainly.com.br,15,2099,br,ccTLD,BR,0
brainly.lat,16,4305,lat,gTLD,,0
archive.org,17,88,org,gTLD,US,0
duolingo.com,18,972,com,gTLD,US,0
seesaw.me,19,4240,me,ccTLD,FR,0
mheducation.com,20,1159,com,gTLD,US,0
chegg.com,21,578,com,gTLD,US,0
bbcollab.com,22,884,com,gTLD,US,0
cambridge.org,23,370,org,gTLD,GB,0
khanacademy.org,24,643,org,gTLD,,0
getepic.com,25,7226,com,gTLD,,0
mit.edu,26,160,edu,sTLD,,0
brainly.in,27,3547,in,ccTLD,IN,0
scribd.com,28,248,com,gTLD,,0
grammarly.com,29,236,com,gTLD,,0
uchi.ru,30,1974,ru,ccTLD,RU,0
coursera.org,31,368,org,gTLD,US,0
yt1s.com,32,1986,com,gTLD,,0
weather.yahoo.co.jp,33,,jp,ccTLD,JP,0
weather.gov,34,1181,gov,sTLD,,1
gdz.ru,35,4481,ru,ccTLD,RU,0
wordwall.net,36,4469,net,gTLD,,0
padlet.com,37,285,com,gTLD,US,1
liveworksheets.com,38,4443,com,gTLD,ES,0
pearson.com,39,1076,com,gTLD,GB,0
bom.gov.au,40,4352,au,ccTLD,AU,0
coursehero.com,41,950,com,gTLD,US,0
ilmeteo.it,42,5827,it,ccTLD,IT,0
timeanddate.com,43,599,com,gTLD,NO,0
harvard.edu,44,154,edu,sTLD,,0
index-education.net,45,3442,net,gTLD,,0
toppr.com,46,3741,com,gTLD,,0
sinoptik.ua,47,5493,ua,ccTLD,UA,0
unam.mx,48,1906,mx,ccTLD,MX,0
analyticsapp.ru,49,237210,ru,ccTLD,RU,0
brainly.com,50,3098,com,gTLD,PL,0
