"TLD","Type","Punycode","Language Code","Translation","Romanized","RTL","Sponsor"
"aaa","gTLD","","","","","no","American Automobile Association, Inc."
"aarp","gTLD","","","","","no","AARP"
"abarth","gTLD","","","","","no","Fiat Chrysler Automobiles N.V."
"abb","gTLD","","","","","no","ABB Ltd"
"abbott","gTLD","","","","","no","Abbott Laboratories, Inc."
"abbvie","gTLD","","","","","no","AbbVie Inc."
"abc","gTLD","","","","","no","Disney Enterprises, Inc."
"able","gTLD","","","","","no","Able Inc."
"abogado","gTLD","","","lawyer","","no","Minds + Machines Group Limited"
"abudhabi","gTLD","","","","","no","Abu Dhabi Systems and Information Centre"
"ac","ccTLD","","","","","no","Internet Computer Bureau Limited"
"academy","gTLD","","","","","no","Binky Moon, LLC"
"accenture","gTLD","","","","","no","Accenture plc"
"accountant","gTLD","","","","","no","dot Accountant Limited"
"accountants","gTLD","","","","","no","Binky Moon, LLC"
"aco","gTLD","","","","","no","ACO Severin Ahlmann GmbH & Co. KG"
"active","gTLD","","","","","no","Not assigned"
"actor","gTLD","","","","","no","United TLD Holdco Ltd."
"ad","ccTLD","","","","","no","Andorra Telecom"
"adac","gTLD","","","","","no","Allgemeiner Deutscher Automobil-Club e.V. (ADAC)"
"ads","gTLD","","","","","no","Charleston Road Registry Inc."
"adult","gTLD","","","","","no","ICM Registry AD LLC"
"ae","ccTLD","","","","","no","Telecommunication Regulatory Authority (TRA)"
"aeg","gTLD","","","","","no","Aktiebolaget Electrolux"
"aero","sTLD","","","","","no","Societe Internationale de Telecommunications Aeronautique (SITA INC USA)"
"aetna","gTLD","","","","","no","Aetna Life Insurance Company"
"af","ccTLD","","","","","no","Ministry of Communications and IT"
"afamilycompany","gTLD","","","","","no","Johnson Shareholdings, Inc."
"afl","gTLD","","","","","no","Australian Football League"
"africa","gTLD","","","","","no","ZA Central Registry NPC trading as Registry.Africa"
"ag","ccTLD","","","","","no","UHSA School of Medicine"
"agakhan","gTLD","","","","","no","Fondation Aga Khan (Aga Khan Foundation)"
"agency","gTLD","","","","","no","Binky Moon, LLC"
"ai","ccTLD","","","","","no","Government of Anguilla"
"aig","gTLD","","","","","no","American International Group, Inc."
"aigo","gTLD","","","","","no","Not assigned"
"airbus","gTLD","","","","","no","Airbus S.A.S."
"airforce","gTLD","","","","","no","United TLD Holdco Ltd."
"airtel","gTLD","","","","","no","Bharti Airtel Limited"
"akdn","gTLD","","","","","no","Fondation Aga Khan (Aga Khan Foundation)"
"al","ccTLD","","","","","no","Electronic and Postal Communications Authority - AKEP"
"alfaromeo","gTLD","","","","","no","Fiat Chrysler Automobiles N.V."
"alibaba","gTLD","","","","","no","Alibaba Group Holding Limited"
"alipay","gTLD","","","","","no","Alibaba Group Holding Limited"
"allfinanz","gTLD","","","","","no","Allfinanz Deutsche Vermögensberatung Aktiengesellschaft"
"allstate","gTLD","","","","","no","Allstate Fire and Casualty Insurance Company"
"ally","gTLD","","","","","no","Ally Financial Inc."
"alsace","gTLD","","","","","no","REGION GRAND EST"
"alstom","gTLD","","","","","no","ALSTOM"
"am","ccTLD","","","","","no","""Internet Society"" Non-governmental Organization"
"amazon","gTLD","","","","","no","Amazon Registry Services, Inc."
"americanexpress","gTLD","","","","","no","American Express Travel Related Services Company, Inc."
"americanfamily","gTLD","","","","","no","AmFam, Inc."
"amex","gTLD","","","","","no","American Express Travel Related Services Company, Inc."
"amfam","gTLD","","","","","no","AmFam, Inc."
"amica","gTLD","","","","","no","Amica Mutual Insurance Company"
"amsterdam","gTLD","","","","","no","Gemeente Amsterdam"
"an","ccTLD","","","","","no","Retired"
"analytics","gTLD","","","","","no","Campus IP LLC"
"android","gTLD","","","","","no","Charleston Road Registry Inc."
"anquan","gTLD","","","","","no","QIHOO 360 TECHNOLOGY CO. LTD."
"anz","gTLD","","","","","no","Australia and New Zealand Banking Group Limited"
"ao","ccTLD","","","","","no","Ministry of Telecommunications and Information Technologies (MTTI)"
"aol","gTLD","","","","","no","OATH Inc."
"apartments","gTLD","","","","","no","Binky Moon, LLC"
"app","gTLD","","","","","no","Charleston Road Registry Inc."
"apple","gTLD","","","","","no","Apple Inc."
"aq","ccTLD","","","","","no","Antarctica Network Information Centre Limited"
"aquarelle","gTLD","","","","","no","Aquarelle.com"
"ar","ccTLD","","","","","no","Presidencia de la Nación – Secretaría Legal y Técnica"
"arab","gTLD","","","","","no","League of Arab States"
"aramco","gTLD","","","","","no","Aramco Services Company"
"archi","gTLD","","","","","no","Afilias Limited"
"army","gTLD","","","","","no","United TLD Holdco Ltd."
"arpa","infrastructure","","","","","no","Internet Architecture Board (IAB)"
"art","gTLD","","","","","no","UK Creative Ideas Limited"
"arte","gTLD","","","","","no","Association Relative à la Télévision Européenne G.E.I.E."
"as","ccTLD","","","","","no","AS Domain Registry"
"asda","gTLD","","","","","no","Wal-Mart Stores, Inc."
"asia","sTLD","","","","","no","DotAsia Organisation Ltd."
"associates","gTLD","","","","","no","Binky Moon, LLC"
"at","ccTLD","","","","","no","nic.at GmbH"
"athleta","gTLD","","","","","no","The Gap, Inc."
"attorney","gTLD","","","","","no","United TLD Holdco, Ltd"
"au","ccTLD","","","","","no",".au Domain Administration (auDA)"
"auction","gTLD","","","","","no","United TLD HoldCo, Ltd."
"audi","gTLD","","","","","no","AUDI Aktiengesellschaft"
"audible","gTLD","","","","","no","Amazon Registry Services, Inc."
"audio","gTLD","","","","","no","Uniregistry, Corp."
"auspost","gTLD","","","","","no","Australian Postal Corporation"
"author","gTLD","","","","","no","Amazon Registry Services, Inc."
"auto","gTLD","","","","","no","XYZ.COM LLC"
"autos","gTLD","","","","","no","DERAutos, LLC"
"avianca","gTLD","","","","","no","Avianca Holdings S.A."
"aw","ccTLD","","","","","no","SETAR"
"aws","gTLD","","","","","no","Amazon Registry Services, Inc."
"ax","ccTLD","","","","","no","Ålands landskapsregering"
"axa","gTLD","","","","","no","AXA SA"
"az","ccTLD","","","","","no","IntraNS"
"azure","gTLD","","","","","no","Microsoft Corporation"
"ba","ccTLD","","","","","no","Universtiy Telinformatic Centre (UTIC)"
"baby","gTLD","","","","","no","XYZ.COM LLC"
"baidu","gTLD","","","","","no","Baidu, Inc."
"banamex","gTLD","","","","","no","Citigroup Inc."
"bananarepublic","gTLD","","","","","no","The Gap, Inc."
"band","gTLD","","","","","no","United TLD Holdco, Ltd"
"bank","gTLD","","","","","no","fTLD Registry Services, LLC"
"bar","gTLD","","","","","no","Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable"
"barcelona","gTLD","","","","","no","Municipi de Barcelona"
"barclaycard","gTLD","","","","","no","Barclays Bank PLC"
"barclays","gTLD","","","","","no","Barclays Bank PLC"
"barefoot","gTLD","","","","","no","Gallo Vineyards, Inc."
"bargains","gTLD","","","","","no","Binky Moon, LLC"
"baseball","gTLD","","","","","no","MLB Advanced Media DH, LLC"
"basketball","gTLD","","","","","no","Fédération Internationale de Basketball (FIBA)"
"bauhaus","gTLD","","","","","no","Werkhaus GmbH"
"bayern","gTLD","","","","","no","Bayern Connect GmbH"
"bb","ccTLD","","","","","no","Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit"
"bbc","gTLD","","","","","no","British Broadcasting Corporation"
"bbt","gTLD","","","","","no","BB&T Corporation"
"bbva","gTLD","","","","","no","BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
"bcg","gTLD","","","","","no","The Boston Consulting Group, Inc."
"bcn","gTLD","","","","","no","Municipi de Barcelona"
"bd","ccTLD","","","","","no","Posts and Telecommunications Division"
"be","ccTLD","","","","","no","DNS Belgium vzw/asbl"
"beats","gTLD","","","","","no","Beats Electronics, LLC"
"beauty","gTLD","","","","","no","XYZ.COM LLC"
"beer","gTLD","","","","","no","Minds + Machines Group Limited"
"bentley","gTLD","","","","","no","Bentley Motors Limited"
"berlin","gTLD","","","","","no","dotBERLIN GmbH & Co. KG"
"best","gTLD","","","","","no","BestTLD Pty Ltd"
"bestbuy","gTLD","","","","","no","BBY Solutions, Inc."
"bet","gTLD","","","","","no","Afilias Limited"
"bf","ccTLD","","","","","no","ARCE-AutoritÈ de RÈgulation des Communications Electroniques"
"bg","ccTLD","","","","","no","Register.BG"
"bh","ccTLD","","","","","no","Telecommunications Regulatory Authority (TRA)"
"bharti","gTLD","","","","","no","Bharti Enterprises (Holding) Private Limited"
"bi","ccTLD","","","","","no","Centre National de l'Informatique"
"bible","gTLD","","","","","no","American Bible Society"
"bid","gTLD","","","","","no","dot Bid Limited"
"bike","gTLD","","","","","no","Binky Moon, LLC"
"bing","gTLD","","","","","no","Microsoft Corporation"
"bingo","gTLD","","","","","no","Binky Moon, LLC"
"bio","gTLD","","","","","no","Afilias Limited"
"biz","grTLD","","","","","no","Registry Services, LLC"
"bj","ccTLD","","","","","no","Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN)"
"bl","ccTLD","","","","","no","Not assigned"
"black","gTLD","","","","","no","Afilias Limited"
"blackfriday","gTLD","","","","","no","Uniregistry, Corp."
"blanco","gTLD","","","","","no","Not assigned"
